[2025-11-13 11:57:14] System - CPU: 0.00%, Memory: 22.54%, Processes: 404
[2025-11-13 11:57:15] System - CPU: 5.20%, Memory: 22.75%, Processes: 407
[2025-11-13 11:57:16] System - CPU: 2.79%, Memory: 22.80%, Processes: 404
[2025-11-13 11:57:17] System - CPU: 3.47%, Memory: 22.75%, Processes: 404
[2025-11-13 11:57:18] System - CPU: 2.13%, Memory: 22.74%, Processes: 404
[2025-11-13 11:57:19] System - CPU: 2.45%, Memory: 22.74%, Processes: 407
[2025-11-13 11:57:20] System - CPU: 1.73%, Memory: 22.76%, Processes: 404
[2025-11-13 11:57:22] System - CPU: 1.28%, Memory: 22.70%, Processes: 404
[2025-11-13 11:57:23] System - CPU: 1.90%, Memory: 22.69%, Processes: 404
[2025-11-13 11:57:24] System - CPU: 1.62%, Memory: 22.69%, Processes: 404
[2025-11-13 11:57:25] System - CPU: 2.35%, Memory: 22.70%, Processes: 404
[2025-11-13 11:57:26] System - CPU: 1.45%, Memory: 22.69%, Processes: 404
[2025-11-13 11:57:27] System - CPU: 1.73%, Memory: 22.69%, Processes: 404
[2025-11-13 11:57:28] System - CPU: 2.41%, Memory: 22.68%, Processes: 404
[2025-11-13 11:57:29] System - CPU: 1.57%, Memory: 22.70%, Processes: 404
[2025-11-13 11:57:31] System - CPU: 2.01%, Memory: 22.77%, Processes: 404
[2025-11-13 11:57:32] System - CPU: 1.96%, Memory: 22.76%, Processes: 404
[2025-11-13 11:57:33] System - CPU: 2.18%, Memory: 22.75%, Processes: 404
[2025-11-13 11:57:34] System - CPU: 1.62%, Memory: 22.75%, Processes: 404
[2025-11-13 11:57:35] System - CPU: 2.18%, Memory: 22.63%, Processes: 404
[2025-11-13 11:57:36] System - CPU: 1.96%, Memory: 22.60%, Processes: 404
[2025-11-13 11:57:37] System - CPU: 1.40%, Memory: 22.58%, Processes: 404
[2025-11-13 11:57:38] System - CPU: 1.51%, Memory: 22.55%, Processes: 404
[2025-11-13 11:57:39] System - CPU: 2.64%, Memory: 22.56%, Processes: 404
[2025-11-13 11:57:41] System - CPU: 1.34%, Memory: 22.56%, Processes: 404
[2025-11-13 11:57:42] System - CPU: 2.52%, Memory: 22.57%, Processes: 404
[2025-11-13 11:57:43] System - CPU: 1.28%, Memory: 22.62%, Processes: 404
[2025-11-13 11:57:44] System - CPU: 1.40%, Memory: 22.60%, Processes: 404
[2025-11-13 11:57:45] System - CPU: 1.34%, Memory: 22.60%, Processes: 403
[2025-11-13 11:57:46] System - CPU: 1.90%, Memory: 22.57%, Processes: 403
