[2025-11-12 12:38:34] System - CPU: 0.00%, Memory: 39.68%, Processes: 368
[2025-11-12 12:38:35] System - CPU: 52.76%, Memory: 39.94%, Processes: 368
[2025-11-12 12:38:36] System - CPU: 35.21%, Memory: 39.86%, Processes: 365
[2025-11-12 12:38:37] System - CPU: 3.81%, Memory: 39.92%, Processes: 368
[2025-11-12 12:38:38] System - CPU: 2.42%, Memory: 39.95%, Processes: 365
[2025-11-12 12:38:39] System - CPU: 3.27%, Memory: 39.88%, Processes: 365
[2025-11-12 12:38:40] System - CPU: 2.61%, Memory: 39.91%, Processes: 365
[2025-11-12 12:38:41] System - CPU: 2.46%, Memory: 39.86%, Processes: 365
[2025-11-12 12:38:42] System - CPU: 2.36%, Memory: 39.84%, Processes: 365
[2025-11-12 12:38:43] System - CPU: 2.72%, Memory: 39.81%, Processes: 366
[2025-11-12 12:38:44] System - CPU: 4.78%, Memory: 39.82%, Processes: 366
[2025-11-12 12:38:45] System - CPU: 7.17%, Memory: 39.86%, Processes: 366
[2025-11-12 12:38:46] System - CPU: 4.75%, Memory: 39.87%, Processes: 366
[2025-11-12 12:38:48] System - CPU: 2.42%, Memory: 39.93%, Processes: 366
[2025-11-12 12:38:49] System - CPU: 2.96%, Memory: 39.98%, Processes: 366
[2025-11-12 12:38:50] System - CPU: 2.31%, Memory: 39.97%, Processes: 366
[2025-11-12 12:38:51] System - CPU: 2.11%, Memory: 39.95%, Processes: 366
[2025-11-12 12:38:52] System - CPU: 3.55%, Memory: 39.96%, Processes: 366
[2025-11-12 12:38:53] System - CPU: 6.29%, Memory: 40.00%, Processes: 366
[2025-11-12 12:38:54] System - CPU: 2.71%, Memory: 39.98%, Processes: 366
[2025-11-12 12:38:55] System - CPU: 1.90%, Memory: 39.98%, Processes: 366
[2025-11-12 12:38:56] System - CPU: 2.84%, Memory: 40.06%, Processes: 366
[2025-11-12 12:38:57] System - CPU: 3.10%, Memory: 40.00%, Processes: 366
[2025-11-12 12:38:58] System - CPU: 2.09%, Memory: 40.04%, Processes: 366
[2025-11-12 12:38:59] System - CPU: 2.50%, Memory: 40.06%, Processes: 366
[2025-11-12 12:39:00] System - CPU: 3.92%, Memory: 40.09%, Processes: 366
[2025-11-12 12:39:01] System - CPU: 3.68%, Memory: 39.99%, Processes: 366
[2025-11-12 12:39:02] System - CPU: 3.93%, Memory: 39.94%, Processes: 366
[2025-11-12 12:39:03] System - CPU: 2.87%, Memory: 39.92%, Processes: 366
[2025-11-12 12:39:04] System - CPU: 7.54%, Memory: 39.89%, Processes: 366
[2025-11-12 12:39:05] System - CPU: 2.74%, Memory: 39.94%, Processes: 366
[2025-11-12 12:39:06] System - CPU: 1.80%, Memory: 39.91%, Processes: 366
[2025-11-12 12:39:07] System - CPU: 4.10%, Memory: 39.97%, Processes: 366
[2025-11-12 12:39:09] System - CPU: 5.32%, Memory: 39.97%, Processes: 366
[2025-11-12 12:39:10] System - CPU: 4.77%, Memory: 39.97%, Processes: 366
[2025-11-12 12:39:11] System - CPU: 5.00%, Memory: 40.03%, Processes: 366
[2025-11-12 12:39:12] System - CPU: 2.97%, Memory: 40.04%, Processes: 366
[2025-11-12 12:39:13] System - CPU: 6.61%, Memory: 40.21%, Processes: 366
[2025-11-12 12:39:14] System - CPU: 4.79%, Memory: 40.49%, Processes: 366
[2025-11-12 12:39:15] System - CPU: 2.79%, Memory: 40.54%, Processes: 366
[2025-11-12 12:39:16] System - CPU: 5.65%, Memory: 40.27%, Processes: 365
[2025-11-12 12:39:17] System - CPU: 4.77%, Memory: 40.23%, Processes: 365
[2025-11-12 12:39:18] System - CPU: 3.39%, Memory: 40.31%, Processes: 365
[2025-11-12 12:39:19] System - CPU: 4.20%, Memory: 40.30%, Processes: 365
[2025-11-12 12:39:20] System - CPU: 3.90%, Memory: 40.28%, Processes: 365
[2025-11-12 12:39:21] System - CPU: 3.35%, Memory: 40.21%, Processes: 365
[2025-11-12 12:39:22] System - CPU: 6.80%, Memory: 40.25%, Processes: 365
[2025-11-12 12:39:23] System - CPU: 5.50%, Memory: 40.27%, Processes: 365
[2025-11-12 12:39:24] System - CPU: 6.81%, Memory: 40.30%, Processes: 365
[2025-11-12 12:39:25] System - CPU: 15.14%, Memory: 40.14%, Processes: 365
[2025-11-12 12:39:26] System - CPU: 3.76%, Memory: 40.04%, Processes: 365
[2025-11-12 12:39:27] System - CPU: 10.58%, Memory: 40.05%, Processes: 365
[2025-11-12 12:39:29] System - CPU: 5.10%, Memory: 39.98%, Processes: 365
[2025-11-12 12:39:30] System - CPU: 3.63%, Memory: 40.02%, Processes: 365
[2025-11-12 12:39:31] System - CPU: 4.80%, Memory: 39.99%, Processes: 365
[2025-11-12 12:39:32] System - CPU: 3.68%, Memory: 39.98%, Processes: 365
[2025-11-12 12:39:33] System - CPU: 16.22%, Memory: 40.03%, Processes: 365
[2025-11-12 12:39:34] System - CPU: 4.72%, Memory: 40.01%, Processes: 365
[2025-11-12 12:39:35] System - CPU: 3.91%, Memory: 40.00%, Processes: 365
[2025-11-12 12:39:36] System - CPU: 4.83%, Memory: 40.08%, Processes: 365
[2025-11-12 12:39:37] System - CPU: 2.27%, Memory: 40.00%, Processes: 365
[2025-11-12 12:39:38] System - CPU: 2.57%, Memory: 40.02%, Processes: 365
[2025-11-12 12:39:39] System - CPU: 2.14%, Memory: 40.05%, Processes: 365
[2025-11-12 12:39:40] System - CPU: 2.60%, Memory: 40.03%, Processes: 365
[2025-11-12 12:39:41] System - CPU: 1.97%, Memory: 40.06%, Processes: 365
[2025-11-12 12:39:42] System - CPU: 7.75%, Memory: 40.07%, Processes: 365
[2025-11-12 12:39:43] System - CPU: 3.87%, Memory: 40.15%, Processes: 365
[2025-11-12 12:39:45] System - CPU: 3.85%, Memory: 40.16%, Processes: 365
[2025-11-12 12:39:46] System - CPU: 11.32%, Memory: 40.40%, Processes: 365
[2025-11-12 12:39:47] System - CPU: 2.16%, Memory: 40.43%, Processes: 365
[2025-11-12 12:39:48] System - CPU: 16.90%, Memory: 40.42%, Processes: 365
[2025-11-12 12:39:49] System - CPU: 4.07%, Memory: 40.45%, Processes: 365
[2025-11-12 12:39:50] System - CPU: 6.36%, Memory: 40.38%, Processes: 365
[2025-11-12 12:39:51] System - CPU: 7.07%, Memory: 40.27%, Processes: 365
[2025-11-12 12:39:52] System - CPU: 6.86%, Memory: 40.26%, Processes: 365
[2025-11-12 12:39:53] System - CPU: 6.34%, Memory: 40.22%, Processes: 365
[2025-11-12 12:39:54] System - CPU: 6.29%, Memory: 40.09%, Processes: 365
[2025-11-12 12:39:55] System - CPU: 8.40%, Memory: 40.09%, Processes: 365
[2025-11-12 12:39:56] System - CPU: 0.00%, Memory: 40.11%, Processes: 365
[2025-11-12 12:39:57] System - CPU: 0.00%, Memory: 40.12%, Processes: 365
[2025-11-12 12:39:58] System - CPU: 0.00%, Memory: 40.07%, Processes: 365
[2025-11-12 12:39:59] System - CPU: 0.00%, Memory: 40.15%, Processes: 365
[2025-11-12 12:40:00] System - CPU: 0.00%, Memory: 40.15%, Processes: 365
[2025-11-12 12:40:01] System - CPU: 0.00%, Memory: 40.15%, Processes: 365
[2025-11-12 12:40:02] System - CPU: 0.00%, Memory: 40.00%, Processes: 365
[2025-11-12 12:40:03] System - CPU: 3.95%, Memory: 40.08%, Processes: 365
[2025-11-12 12:40:04] System - CPU: 5.71%, Memory: 40.12%, Processes: 366
[2025-11-12 12:40:05] System - CPU: 1.91%, Memory: 40.11%, Processes: 366
[2025-11-12 12:40:06] System - CPU: 7.63%, Memory: 40.11%, Processes: 366
[2025-11-12 12:40:08] System - CPU: 1.97%, Memory: 40.19%, Processes: 366
[2025-11-12 12:40:09] System - CPU: 2.72%, Memory: 40.17%, Processes: 366
[2025-11-12 12:40:10] System - CPU: 3.55%, Memory: 40.21%, Processes: 366
[2025-11-12 12:40:11] System - CPU: 5.90%, Memory: 40.23%, Processes: 366
[2025-11-12 12:40:12] System - CPU: 9.37%, Memory: 40.39%, Processes: 366
[2025-11-12 12:40:13] System - CPU: 4.35%, Memory: 40.37%, Processes: 366
[2025-11-12 12:40:14] System - CPU: 12.12%, Memory: 40.34%, Processes: 366
[2025-11-12 12:40:15] System - CPU: 3.35%, Memory: 40.26%, Processes: 366
[2025-11-12 12:40:16] System - CPU: 5.05%, Memory: 40.23%, Processes: 366
[2025-11-12 12:40:17] System - CPU: 4.96%, Memory: 40.33%, Processes: 366
[2025-11-12 12:40:18] System - CPU: 3.61%, Memory: 40.30%, Processes: 366
[2025-11-12 12:40:19] System - CPU: 2.31%, Memory: 40.24%, Processes: 366
[2025-11-12 12:40:20] System - CPU: 2.00%, Memory: 40.15%, Processes: 366
[2025-11-12 12:40:21] System - CPU: 4.05%, Memory: 40.45%, Processes: 367
[2025-11-12 12:40:22] System - CPU: 9.89%, Memory: 40.20%, Processes: 366
[2025-11-12 12:40:23] System - CPU: 13.88%, Memory: 40.21%, Processes: 366
[2025-11-12 12:40:24] System - CPU: 5.56%, Memory: 40.18%, Processes: 366
[2025-11-13 11:07:55] System - CPU: 0.00%, Memory: 16.69%, Processes: 409
[2025-11-13 11:07:56] System - CPU: 3.09%, Memory: 16.99%, Processes: 406
[2025-11-13 11:07:57] System - CPU: 1.23%, Memory: 16.98%, Processes: 406
[2025-11-13 11:07:58] System - CPU: 1.29%, Memory: 16.93%, Processes: 406
[2025-11-13 11:07:59] System - CPU: 5.08%, Memory: 16.90%, Processes: 406
[2025-11-13 11:08:00] System - CPU: 2.41%, Memory: 16.85%, Processes: 409
[2025-11-13 11:08:02] System - CPU: 1.79%, Memory: 16.85%, Processes: 406
[2025-11-13 11:08:03] System - CPU: 1.96%, Memory: 16.81%, Processes: 406
[2025-11-13 11:08:04] System - CPU: 1.96%, Memory: 16.80%, Processes: 406
[2025-11-13 11:08:05] System - CPU: 2.70%, Memory: 16.77%, Processes: 406
[2025-11-13 11:08:06] System - CPU: 2.54%, Memory: 16.77%, Processes: 406
[2025-11-13 11:08:07] System - CPU: 6.24%, Memory: 16.74%, Processes: 406
[2025-11-13 11:08:08] System - CPU: 1.23%, Memory: 16.81%, Processes: 406
[2025-11-13 11:08:09] System - CPU: 1.96%, Memory: 16.81%, Processes: 406
[2025-11-13 11:08:11] System - CPU: 1.74%, Memory: 16.79%, Processes: 406
[2025-11-13 11:08:12] System - CPU: 1.23%, Memory: 16.78%, Processes: 406
[2025-11-13 11:08:13] System - CPU: 3.67%, Memory: 16.79%, Processes: 406
[2025-11-13 11:08:14] System - CPU: 2.30%, Memory: 16.76%, Processes: 406
[2025-11-13 11:08:15] System - CPU: 3.05%, Memory: 16.74%, Processes: 406
[2025-11-13 11:08:16] System - CPU: 2.76%, Memory: 16.74%, Processes: 406
[2025-11-13 11:08:17] System - CPU: 1.91%, Memory: 16.74%, Processes: 406
[2025-11-13 11:08:18] System - CPU: 1.57%, Memory: 16.74%, Processes: 406
[2025-11-13 11:08:19] System - CPU: 2.46%, Memory: 16.75%, Processes: 406
[2025-11-13 11:08:21] System - CPU: 2.08%, Memory: 16.73%, Processes: 406
[2025-11-13 11:08:22] System - CPU: 1.96%, Memory: 16.71%, Processes: 406
[2025-11-13 11:08:23] System - CPU: 2.59%, Memory: 16.71%, Processes: 406
[2025-11-13 11:08:24] System - CPU: 2.13%, Memory: 16.71%, Processes: 406
[2025-11-13 11:08:25] System - CPU: 2.08%, Memory: 16.87%, Processes: 406
[2025-11-13 11:08:26] System - CPU: 2.58%, Memory: 16.87%, Processes: 406
[2025-11-13 11:08:27] System - CPU: 2.02%, Memory: 16.84%, Processes: 403
[2025-11-13 11:08:28] System - CPU: 2.53%, Memory: 16.88%, Processes: 403
[2025-11-13 11:08:30] System - CPU: 2.02%, Memory: 16.86%, Processes: 401
[2025-11-13 11:08:31] System - CPU: 1.74%, Memory: 16.84%, Processes: 401
[2025-11-13 11:08:32] System - CPU: 2.02%, Memory: 16.86%, Processes: 401
[2025-11-13 11:08:33] System - CPU: 2.41%, Memory: 16.86%, Processes: 401
[2025-11-13 11:08:34] System - CPU: 1.40%, Memory: 16.87%, Processes: 401
[2025-11-13 11:08:35] System - CPU: 1.52%, Memory: 16.88%, Processes: 401
[2025-11-13 11:08:36] System - CPU: 1.91%, Memory: 16.87%, Processes: 401
[2025-11-13 11:08:37] System - CPU: 2.02%, Memory: 16.88%, Processes: 401
[2025-11-13 11:08:38] System - CPU: 1.68%, Memory: 16.90%, Processes: 401
[2025-11-13 11:08:40] System - CPU: 1.91%, Memory: 16.89%, Processes: 401
[2025-11-13 11:08:41] System - CPU: 2.13%, Memory: 16.86%, Processes: 401
[2025-11-13 11:08:42] System - CPU: 1.40%, Memory: 16.86%, Processes: 401
[2025-11-13 11:08:43] System - CPU: 1.46%, Memory: 16.85%, Processes: 401
[2025-11-13 11:08:44] System - CPU: 1.91%, Memory: 16.85%, Processes: 401
[2025-11-13 11:08:45] System - CPU: 1.91%, Memory: 16.78%, Processes: 401
[2025-11-13 11:08:46] System - CPU: 1.57%, Memory: 16.76%, Processes: 401
[2025-11-13 11:08:47] System - CPU: 1.23%, Memory: 16.79%, Processes: 401
[2025-11-13 11:08:49] System - CPU: 1.68%, Memory: 16.77%, Processes: 401
[2025-11-13 11:08:50] System - CPU: 1.97%, Memory: 16.71%, Processes: 401
[2025-11-13 11:08:51] System - CPU: 1.63%, Memory: 16.71%, Processes: 401
[2025-11-13 11:08:52] System - CPU: 3.54%, Memory: 16.75%, Processes: 400
[2025-11-13 11:08:53] System - CPU: 1.37%, Memory: 16.75%, Processes: 400
[2025-11-13 11:08:54] System - CPU: 2.08%, Memory: 16.73%, Processes: 400
[2025-11-13 11:08:55] System - CPU: 2.64%, Memory: 16.75%, Processes: 400
[2025-11-13 11:08:56] System - CPU: 1.91%, Memory: 16.71%, Processes: 400
[2025-11-13 11:08:57] System - CPU: 2.42%, Memory: 16.69%, Processes: 400
[2025-11-13 11:08:59] System - CPU: 1.46%, Memory: 16.67%, Processes: 400
